x,927mg
39.144,4.93
127.344,6.992
186.144,8.562
222.096,10.577
343.056,11.266
512.904,14.069
682.752,20.5685
846.048,29.2855
1012.704,38.767
1355.76,50.6
1688.904,58.475
2025.408,63.82
2695.056,52.94
3364.704,40.38
4037.544,28.771
4707.36,20.0015
5373.648,15.2365
6046.656,11.8525
6719.496,5.96
7389.144,4.351
8065.344,3.3159
