x,300mg
22.56,20.727
47.592,19.619
71.088,15.747
118.608,13.024
167.16,13.354
334.776,7.555
503.904,5.325
671.016,3.297
838.608,2.5936
1008.264,1.9412
1175.352,1.0712
1342.968,0.8302
1511.592,0.9313
