x,50mg
23.064,3.926
47.088,4.317
70.584,4.066
118.104,3.907
167.16,3.38
334.776,2.5807
503.904,2.0203
671.52,1.5737
838.608,1.2506
1006.728,1.2382
1174.848,0.8641
1342.968,0.8138
1511.088,0.9267
