x,900mg
21.528,28.537
47.088,26.083
71.088,23.02
119.136,18.756
167.16,18.57
334.776,8.909
503.4,6.064
671.52,3.83
838.608,2.7816
1006.224,1.6216
1175.88,1.0819
1343.472,0.8138
1511.088,0.606
