x,30mg
6.912,1.28851681
10.392,1.62335495
33.408,1.95093084
65.28,2.23657934
116.688,2.34444796
166.344,2.34444796
214.224,2.25759145
332.976,2.58816907
501.408,2.62477081
669.792,3.00899225
838.224,3.08045279
1004.928,2.64888148
1343.616,2.17276837
1678.776,1.74071291
2013.912,1.48275779
2687.784,0.96065043
3359.784,0.79158525
4029.96,0.89877606
