x,300mg
8.112,12.5549778
32.808,20.5938044
45.168,25.1022092
64.632,29.4644007
116.016,31.1782917
162.096,34.5838028
211.776,31.324505
334.104,31.9180729
502.512,35.7380164
669.168,37.2834232
835.8,40.9658681
1006.032,37.2766451
1339.416,29.0315706
1676.376,20.7710033
2015.088,15.7997511
2687.208,9.0565099
3359.256,6.632855
4029.576,3.76629968
4701.696,2.10857008
5377.224,2.11776893
