x,100mg
8.352,4.71010169
34.848,7.2670915
45.456,8.1753569
70.248,9.2414552
118.056,10.9505047
165.936,10.544787
212.04,10.4450521
334.344,11.9749661
502.824,10.5922337
671.232,11.4753233
839.688,10.7926718
1004.568,10.8420551
1343.328,6.9930626
1678.44,6.4837368
2015.4,4.79473111
2685.672,3.30296813
3361.296,2.18080526
4033.344,1.57474629
