x,309mg
26.208,2.2689
104.496,3.0158
215.544,3.5835
346.248,3.4471
512.904,4.009
676.2,5.06
855.96,7.72
1015.896,9.134
1352.4,14.303
1688.904,13.938
2025.408,14.869
2691.696,12.037
3367.896,10.622
4034.352,8.636
4707.36,6.525
5380.2,5.909
6049.848,4.114
6719.496,3.1216
7392.504,2.8147
8065.344,2.0546
8731.8,1.5659
9404.64,1.3759
